Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787011.443589,13.107.6.158,192.168.246.147,443,53532,115,6,DF,357,0.3598449230194092,17,0,8115,0,1434,54,450.8333333333333,0.2628384687208216
1711787011.443664,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,0.35992002487182617,18,0,8207,0,1434,54,431.94736842105266,3.695080091533181
1711787011.443681,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.38199591636657715,16,0,2712,0,957,54,159.52941176470588,1.9542483660130718
1711787011.501925,192.168.246.93,192.168.246.147,53,55745,64,17,DF,321,0.0,1,0,321,0,321,321,160.5,0
1711787011.594231,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,0.532545804977417,17,0,2881,0,957,54,160.05555555555554,0.05292570677186069
1711787011.594297,192.168.246.147,13.107.6.158,53532,443,128,6,DF,125,0.5326118469238281,18,0,3006,0,957,54,158.21052631578948,0.26568421052631586
1711787011.607648,192.168.246.147,192.168.246.93,55763,53,128,17,,83,0.0,1,0,83,0,83,83,41.5,0
1711787011.607921,192.168.246.147,192.168.246.93,57677,53,128,17,,83,0.0,1,0,83,0,83,83,41.5,0
1711787011.624611,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.5408668518066406,19,0,8261,0,1434,54,413.05,6.649074074074075
1711787011.634476,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.550731897354126,20,0,8315,0,1434,54,395.95238095238096,6.332451499118166
1711787011.665733,192.168.246.93,192.168.246.147,53,57677,64,17,DF,275,0.0,1,0,275,0,275,275,137.5,0
1711787011.730596,13.107.6.158,192.168.246.147,443,53532,115,6,DF,357,0.6468520164489746,21,0,8672,0,1434,54,394.1818181818182,0.10415075120957476
1711787011.73067,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,0.6469259262084961,22,0,8764,0,1434,54,381.04347826086956,3.1417769376181472
1711787011.730686,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.6690008640289307,19,0,3060,0,957,54,153.0,1.8333333333333333
1711787011.762842,192.168.246.93,192.168.246.147,53,50849,64,17,DF,275,0.0,1,0,275,0,275,275,137.5,0
1711787011.940282,192.168.246.147,13.107.6.158,53532,443,128,6,DF,166,0.8785970211029053,20,0,3226,0,957,54,153.61904761904762,0.07458405048766494
1711787011.940341,192.168.246.147,13.107.6.158,53532,443,128,6,DF,124,0.8786559104919434,21,0,3350,0,957,54,152.27272727272728,0.22800586510263937
1711787011.97353,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.8897860050201416,23,0,8818,0,1434,54,367.4166666666667,5.804012345679013
1711787012.0319,192.168.246.93,192.168.246.147,53,55763,64,17,DF,273,0.0,1,0,273,0,273,273,136.5,0
1711787012.069979,13.107.6.158,192.168.246.147,443,53532,115,6,DF,356,0.9862349033355713,24,0,9174,0,1434,54,366.96,0.030786516853932525
1711787012.070039,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,0.9862949848175049,25,0,9266,0,1434,54,356.38461538461536,2.873745819397993
1711787012.070056,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,1.0083708763122559,22,0,3404,0,957,54,148.0,1.7407407407407407
1711787012.082903,192.168.246.93,192.168.246.147,53,50887,64,17,DF,273,0.0,1,0,273,0,273,273,136.5,0
